Name,Pre-Primer Dolch
Word,Sentences
a,A cat ran fast.^A bird sat high.^A dog barked loudly.
and,I like apples and pears.^She ran and jumped.^We laughed and played.
away,The dog ran away.^Put the toys away.^The clouds drifted away.
big,The big tree swayed.^A big truck drove by.^I saw a big bird.
blue,The sky looks blue.^She wore a blue hat.^I found a blue stone.
can,I can jump high.^We can play later.^You can help me.
come,Come play with me.^Please come inside.^Come sit here.
down,Sit down now.^The sun went down.^He climbed down slowly.
find,Find the red ball.^I can find you.^She will find help.
for,This gift is for you.^I made lunch for us.^Save a seat for me.
funny,That joke was funny.^The puppy is funny.^We saw a funny show.
go,Let's go home.^Go get your coat.^We can go now.
help,Please help me.^I can help you.^Help is coming soon.
here,Come here now.^Put it here.^Here is your snack.
I,I like ice cream.^I can read.^I am happy today.
in,Put it in.^We are in class.^The cat is in bed.
is,This is fun.^The dog is loud.^My cup is full.
it,It is cold.^I lost it.^It fell down.
jump,Jump over this.^I can jump high.^They jump together.
little,The little bird chirped.^I saw a little cat.^She held a little toy.
look,Look at this.^Look over there.^Look what I found.
make,Make a wish.^I can make cookies.^Make it fun.
me,Look at me.^Help me please.^Sit with me.
my,My bag is blue.^This is my room.^My friend is here.
not,I am not tired.^Do not run.^That is not mine.
one,I ate one cookie.^One bird flew by.^He has one toy.
play,Let's play outside.^They play soccer.^We can play later.
red,I saw a red car.^The apple is red.^She wore red shoes.
run,Run to me.^I can run fast.^They run together.
said,She said yes.^He said hello.^Mom said stop.
see,I see you.^See the stars.^See what I drew.
the,The dog barked.^The sun is bright.^The book is new.
three,I have three cats.^She ate three cookies.^Three birds flew away.
to,Go to bed.^Walk to school.^Talk to me.
two,I saw two dogs.^Two kids played.^He has two books.
up,Stand up.^Look up there.^Climb up slowly.
we,We are friends.^We can play.^We saw the moon.
where,Where is mom?^Where are we?^Tell me where to go.
yellow,The sun is yellow.^She wore yellow boots.^I drew a yellow star.
you,You are kind.^I see you.^You can try.
