Name,Primer-Dolch
Word,Sentences
all,All the birds sang.^We ate all the cookies.^All the kids ran fast.
am,I am happy.^I am ready to play.^I am learning to read.
are,They are friends.^We are at the park.^The dogs are loud.
at,Meet me at school.^Look at the sky.^She is at home.
ate,I ate my lunch.^He ate an apple.^We ate together.
be,I want to be kind.^She will be here soon.^Try to be patient.
black,The cat is black.^I have a black hat.^The shoes are black.
brown,The dog is brown.^She wore a brown coat.^I saw a brown bird.
but,I like it but not today.^He ran fast but fell.^I want to go but cannot.
came,She came to play.^He came with a gift.^They came early.
did,He did his work.^Did you see that?^I did not know.
do,Do your homework.^I can do it.^Do not run.
eat,I like to eat apples.^We eat lunch at noon.^Do you eat breakfast?
four,I have four pencils.^She saw four birds.^We need four chairs.
get,Get your coat.^Can you get the ball?^I will get it for you.
good,You did a good job.^She is a good friend.^The food is good.
have,I have a cat.^Do you have a pen?^We have fun today.
he,He is my brother.^He can run fast.^I saw him and he waved.
into,The cat jumped into the box.^Go into the room.^She walked into the park.
like,I like ice cream.^Do you like to play?^They like the story.
must,You must listen.^We must be careful.^I must finish my work.
new,I have a new book.^She bought a new hat.^The shoes are new.
no,No, I cannot go.^He said no.^There is no milk.
now,Come here now.^I am ready now.^We must leave now.
on,The book is on the table.^Sit on the chair.^Put the hat on.
our,Our dog is big.^This is our home.^We are happy in our class.
out,Go out to play.^The cat ran out.^Look out for cars.
please,Please help me.^Can you, please, sit down?^Please share your toy.
pretty,She is very pretty.^The flowers are pretty.^What a pretty dress.
ran,He ran fast.^The kids ran to school.^She ran away quickly.
ride,I like to ride my bike.^Can we ride together?^He will ride the horse.
saw,I saw a bird.^She saw the rainbow.^We saw a cat outside.
say,Please say hello.^I will say my name.^What did you say?
she,She is my friend.^She can jump high.^I saw her and she smiled.
so,It is cold, so wear a coat.^I was tired, so I rested.^She is happy, so I am glad.
soon,We will go soon.^Dinner will be ready soon.^He will arrive soon.
that,That is my book.^I like that toy.^Did you see that?
there,There is a cat.^Look over there.^We went there yesterday.
they,They are my friends.^They ran fast.^I saw them at the park.
this,This is my pencil.^I like this game.^Read this book.
too,I want to go too.^She is tall too.^It is hot too.
under,The ball is under the table.^Look under your bed.^She hid under the chair.
want,I want a cookie.^Do you want to play?^He wants to go outside.
was,He was happy.^It was raining.^She was here yesterday.
well,She did well on the test.^I hope you are well.^He sings well.
went,We went to the park.^She went home.^He went quickly.
what,What is that?^What do you want?^Tell me what happened.
white,The cat is white.^She has a white dress.^The paper is white.
who,Who is there?^Do you know who came?^I asked who wants to play.
will,I will help you.^She will be there.^We will go soon.
with,I went with him.^She plays with her friend.^I am with you.
yes,Yes, I like it.^He said yes.^Yes, we can go.
